tiempo_id,lugar_id,arma_id,tipo_id,victimas,costo
22_08/01/20,4177,1,4,4,80418
22_15/01/20,4177,1,4,4,80418
22_22/01/20,4177,1,4,4,80418
22_29/01/20,4177,1,4,4,80418
22_01/01/20,4767,1,4,2,67518
22_08/01/20,4767,1,4,2,67518
22_15/01/20,4767,1,4,2,67518
22_22/01/20,4767,1,4,2,67518
22_29/01/20,4767,1,4,2,67518
22_01/01/20,7688,1,4,4,29256
22_08/01/20,7688,1,4,4,29256
22_15/01/20,7688,1,4,4,29256
22_22/01/20,7688,1,4,4,29256
22_29/01/20,7688,1,4,4,29256
19_01/01/20,842,1,4,5,70359
19_08/01/20,842,1,4,5,70359
19_15/01/20,842,1,4,5,70359
19_22/01/20,842,1,4,5,70359
19_29/01/20,842,1,4,5,70359
19_01/01/20,3969,1,4,1,27634
19_08/01/20,3969,1,4,1,27634
19_15/01/20,3969,1,4,1,27634
19_22/01/20,3969,1,4,1,27634
19_29/01/20,3969,1,4,1,27634
19_01/01/20,6009,1,4,0,65074
19_08/01/20,6009,1,4,0,65074
19_15/01/20,6009,1,4,0,65074
19_22/01/20,6009,1,4,0,65074
19_29/01/20,6009,1,4,0,65074
17_01/01/20,113,1,4,2,53110
17_08/01/20,113,1,4,2,53110
17_15/01/20,113,1,4,2,53110
17_22/01/20,113,1,4,2,53110
17_29/01/20,113,1,4,2,53110
17_01/01/20,499,1,4,0,5263
17_08/01/20,499,1,4,0,5263
17_15/01/20,499,1,4,0,5263
17_22/01/20,499,1,4,0,5263
17_29/01/20,499,1,4,0,5263
17_01/01/20,665,1,4,1,52702
17_08/01/20,665,1,4,1,52702
17_15/01/20,665,1,4,1,52702
17_22/01/20,665,1,4,1,52702
17_29/01/20,665,1,4,1,52702
17_01/01/20,1985,1,4,0,80650
17_08/01/20,1985,1,4,0,80650
17_15/01/20,1985,1,4,0,80650
17_22/01/20,1985,1,4,0,80650
17_29/01/20,1985,1,4,0,80650
17_01/01/20,2104,1,4,0,572
17_08/01/20,2104,1,4,0,572
17_15/01/20,2104,1,4,0,572
17_22/01/20,2104,1,4,0,572
17_29/01/20,2104,1,4,0,572
17_01/01/20,2232,1,4,3,81783
17_08/01/20,2232,1,4,3,81783
17_15/01/20,2232,1,4,3,81783
17_22/01/20,2232,1,4,3,81783
17_29/01/20,2232,1,4,3,81783
17_01/01/20,720,1,4,0,15747
17_08/01/20,720,1,4,0,15747
17_15/01/20,720,1,4,0,15747
17_22/01/20,720,1,4,0,15747
17_29/01/20,720,1,4,0,15747
17_01/01/20,5855,1,4,1,18250
17_08/01/20,5855,1,4,1,18250
17_15/01/20,5855,1,4,1,18250
17_22/01/20,5855,1,4,1,18250
17_29/01/20,5855,1,4,1,18250
17_01/01/20,5861,1,4,0,73994
17_08/01/20,5861,1,4,0,73994
17_15/01/20,5861,1,4,0,73994
17_22/01/20,5861,1,4,0,73994
17_29/01/20,5861,1,4,0,73994
17_01/01/20,6055,1,4,4,91726
17_08/01/20,6055,1,4,4,91726
17_15/01/20,6055,1,4,4,91726
17_22/01/20,6055,1,4,4,91726
17_29/01/20,6055,1,4,4,91726
7_06/05/20,13186,1,4,5,87718
7_13/05/20,13186,1,4,5,87718
7_20/05/20,13186,1,4,5,87718
7_27/05/20,13186,1,4,5,87718
18_01/06/20,5138,1,4,5,6966
18_08/06/20,5138,1,4,5,6966
18_15/06/20,5138,1,4,5,6966
18_22/06/20,5138,1,4,5,6966
18_29/06/20,5138,1,4,5,6966
18_01/06/20,10694,1,4,3,89159
18_08/06/20,10694,1,4,3,89159
18_15/06/20,10694,1,4,3,89159
18_22/06/20,10694,1,4,3,89159
18_29/06/20,10694,1,4,3,89159
18_01/06/20,14023,1,4,3,86918
18_08/06/20,14023,1,4,3,86918
18_15/06/20,14023,1,4,3,86918
18_22/06/20,14023,1,4,3,86918
18_29/06/20,14023,1,4,3,86918
18_01/06/20,25019,1,4,5,8054
18_08/06/20,25019,1,4,5,8054
18_15/06/20,25019,1,4,5,8054
18_22/06/20,25019,1,4,5,8054
18_29/06/20,25019,1,4,5,8054
1_01/01/20,4171,1,4,5,9603
1_08/01/20,4171,1,4,5,9603
1_15/01/20,4171,1,4,5,9603
1_22/01/20,4171,1,4,5,9603
1_29/01/20,4171,1,4,5,9603
1_01/01/20,6029,1,4,5,87567
1_08/01/20,6029,1,4,5,87567
1_15/01/20,6029,1,4,5,87567
1_22/01/20,6029,1,4,5,87567
1_29/01/20,6029,1,4,5,87567
8_01/01/20,1046,1,4,1,17203
8_08/01/20,1046,1,4,1,17203
8_15/01/20,1046,1,4,1,17203
8_22/01/20,1046,1,4,1,17203
8_29/01/20,1046,1,4,1,17203
8_01/01/20,2060,1,4,1,3031
8_08/01/20,2060,1,4,1,3031
8_15/01/20,2060,1,4,1,3031
8_22/01/20,2060,1,4,1,3031
8_29/01/20,2060,1,4,1,3031
8_01/01/20,4082,1,4,4,40988
8_08/01/20,4082,1,4,4,40988
8_15/01/20,4082,1,4,4,40988
8_22/01/20,4082,1,4,4,40988
8_29/01/20,4082,1,4,4,40988
8_01/01/20,4167,1,4,1,79664
8_08/01/20,4167,1,4,1,79664
8_15/01/20,4167,1,4,1,79664
8_22/01/20,4167,1,4,1,79664
8_29/01/20,4167,1,4,1,79664
8_01/01/20,5803,1,4,3,31465
8_08/01/20,5803,1,4,3,31465
8_15/01/20,5803,1,4,3,31465
8_22/01/20,5803,1,4,3,31465
8_29/01/20,5803,1,4,3,31465
8_01/01/20,7640,1,4,4,31262
8_08/01/20,7640,1,4,4,31262
8_15/01/20,7640,1,4,4,31262
8_22/01/20,7640,1,4,4,31262
8_29/01/20,7640,1,4,4,31262
23_01/01/20,10,1,4,2,46888
23_08/01/20,10,1,4,2,46888
23_15/01/20,10,1,4,2,46888
23_22/01/20,10,1,4,2,46888
23_29/01/20,10,1,4,2,46888
23_01/01/20,211,1,4,1,34833
23_08/01/20,211,1,4,1,34833
23_15/01/20,211,1,4,1,34833
23_22/01/20,211,1,4,1,34833
23_29/01/20,211,1,4,1,34833
23_01/01/20,538,1,4,1,56163
23_08/01/20,538,1,4,1,56163
23_15/01/20,538,1,4,1,56163
23_22/01/20,538,1,4,1,56163
23_29/01/20,538,1,4,1,56163
23_01/01/20,2166,1,4,3,77128
23_08/01/20,2166,1,4,3,77128
23_15/01/20,2166,1,4,3,77128
23_22/01/20,2166,1,4,3,77128
23_29/01/20,2166,1,4,3,77128
23_01/01/20,7641,1,4,0,44402
23_08/01/20,7641,1,4,0,44402
23_15/01/20,7641,1,4,0,44402
23_22/01/20,7641,1,4,0,44402
23_29/01/20,7641,1,4,0,44402
15_04/01/20,10,1,4,1,97834
15_11/01/20,10,1,4,1,97834
15_18/01/20,10,1,4,1,97834
15_25/01/20,10,1,4,1,97834
15_04/01/20,851,1,4,4,50689
15_11/01/20,851,1,4,4,50689
15_18/01/20,851,1,4,4,50689
15_25/01/20,851,1,4,4,50689
15_04/01/20,1130,1,4,3,59382
15_11/01/20,1130,1,4,3,59382
15_18/01/20,1130,1,4,3,59382
15_25/01/20,1130,1,4,3,59382
15_04/01/20,2970,1,4,4,13861
15_11/01/20,2970,1,4,4,13861
15_18/01/20,2970,1,4,4,13861
15_25/01/20,2970,1,4,4,13861
23_02/02/20,10,1,4,4,11545
23_09/02/20,10,1,4,4,11545
23_16/02/20,10,1,4,4,11545
23_23/02/20,10,1,4,4,11545
23_02/02/20,803,1,4,3,97569
23_09/02/20,803,1,4,3,97569
23_16/02/20,803,1,4,3,97569
23_23/02/20,803,1,4,3,97569
23_02/02/20,7328,1,4,2,81339
23_09/02/20,7328,1,4,2,81339
23_16/02/20,7328,1,4,2,81339
23_23/02/20,7328,1,4,2,81339
23_02/02/20,8173,1,4,4,52601
23_09/02/20,8173,1,4,4,52601
23_16/02/20,8173,1,4,4,52601
23_23/02/20,8173,1,4,4,52601
23_02/02/20,8760,1,4,4,37490
23_09/02/20,8760,1,4,4,37490
23_16/02/20,8760,1,4,4,37490
23_23/02/20,8760,1,4,4,37490
23_02/02/20,10567,1,4,0,49617
23_09/02/20,10567,1,4,0,49617
23_16/02/20,10567,1,4,0,49617
23_23/02/20,10567,1,4,0,49617
13_07/07/20,10,1,4,1,2092
13_14/07/20,10,1,4,1,2092
13_21/07/20,10,1,4,1,2092
13_28/07/20,10,1,4,1,2092
13_07/07/20,8918,1,4,1,94324
13_14/07/20,8918,1,4,1,94324
13_21/07/20,8918,1,4,1,94324
13_28/07/20,8918,1,4,1,94324
13_07/07/20,12933,1,4,3,79130
13_14/07/20,12933,1,4,3,79130
13_21/07/20,12933,1,4,3,79130
13_28/07/20,12933,1,4,3,79130
13_07/07/20,15220,1,4,4,48066
13_14/07/20,15220,1,4,4,48066
13_21/07/20,15220,1,4,4,48066
13_28/07/20,15220,1,4,4,48066
13_07/07/20,15542,1,4,1,38714
13_14/07/20,15542,1,4,1,38714
13_21/07/20,15542,1,4,1,38714
13_28/07/20,15542,1,4,1,38714
13_07/07/20,23853,1,4,4,60307
13_14/07/20,23853,1,4,4,60307
13_21/07/20,23853,1,4,4,60307
13_28/07/20,23853,1,4,4,60307
13_07/07/20,25615,1,4,0,7899
13_14/07/20,25615,1,4,0,7899
13_21/07/20,25615,1,4,0,7899
13_28/07/20,25615,1,4,0,7899
13_07/07/20,26855,1,4,2,3283
13_14/07/20,26855,1,4,2,3283
13_21/07/20,26855,1,4,2,3283
13_28/07/20,26855,1,4,2,3283
13_07/07/20,27406,1,4,4,38679
13_14/07/20,27406,1,4,4,38679
13_21/07/20,27406,1,4,4,38679
13_28/07/20,27406,1,4,4,38679
6_01/01/20,4243,1,4,2,71693
6_08/01/20,4243,1,4,2,71693
6_15/01/20,4243,1,4,2,71693
6_22/01/20,4243,1,4,2,71693
6_29/01/20,4243,1,4,2,71693
14_01/01/20,185,1,4,3,53077
14_08/01/20,185,1,4,3,53077
14_15/01/20,185,1,4,3,53077
14_22/01/20,185,1,4,3,53077
14_29/01/20,185,1,4,3,53077
14_01/01/20,538,1,4,2,59267
14_08/01/20,538,1,4,2,59267
14_15/01/20,538,1,4,2,59267
14_22/01/20,538,1,4,2,59267
14_29/01/20,538,1,4,2,59267
14_01/01/20,2138,1,4,1,19725
14_08/01/20,2138,1,4,1,19725
14_15/01/20,2138,1,4,1,19725
14_22/01/20,2138,1,4,1,19725
14_29/01/20,2138,1,4,1,19725
14_01/01/20,3065,1,4,5,92956
14_08/01/20,3065,1,4,5,92956
14_15/01/20,3065,1,4,5,92956
14_22/01/20,3065,1,4,5,92956
14_29/01/20,3065,1,4,5,92956
14_01/01/20,6053,1,4,5,22082
14_08/01/20,6053,1,4,5,22082
14_15/01/20,6053,1,4,5,22082
14_22/01/20,6053,1,4,5,22082
14_29/01/20,6053,1,4,5,22082
14_01/01/20,7700,1,4,0,64115
14_08/01/20,7700,1,4,0,64115
14_15/01/20,7700,1,4,0,64115
14_22/01/20,7700,1,4,0,64115
14_29/01/20,7700,1,4,0,64115
3_01/01/20,164,1,4,3,97857
3_08/01/20,164,1,4,3,97857
3_15/01/20,164,1,4,3,97857
3_22/01/20,164,1,4,3,97857
3_29/01/20,164,1,4,3,97857
9_01/01/20,62,1,4,5,26585
9_08/01/20,62,1,4,5,26585
9_15/01/20,62,1,4,5,26585
9_22/01/20,62,1,4,5,26585
9_29/01/20,62,1,4,5,26585
9_01/01/20,1995,1,4,2,38664
9_08/01/20,1995,1,4,2,38664
9_15/01/20,1995,1,4,2,38664
9_22/01/20,1995,1,4,2,38664
9_29/01/20,1995,1,4,2,38664
9_01/01/20,2226,1,4,2,8316
9_08/01/20,2226,1,4,2,8316
9_15/01/20,2226,1,4,2,8316
9_22/01/20,2226,1,4,2,8316
9_29/01/20,2226,1,4,2,8316
9_01/01/20,5858,1,4,1,18181
9_08/01/20,5858,1,4,1,18181
9_15/01/20,5858,1,4,1,18181
9_22/01/20,5858,1,4,1,18181
9_29/01/20,5858,1,4,1,18181
4_01/01/20,21,1,4,3,70751
4_08/01/20,21,1,4,3,70751
4_15/01/20,21,1,4,3,70751
4_22/01/20,21,1,4,3,70751
4_29/01/20,21,1,4,3,70751
7_01/01/20,5996,1,4,1,85556
7_08/01/20,5996,1,4,1,85556
7_15/01/20,5996,1,4,1,85556
7_22/01/20,5996,1,4,1,85556
7_29/01/20,5996,1,4,1,85556
19_07/01/20,3764,1,4,0,61268
19_14/01/20,3764,1,4,0,61268
19_21/01/20,3764,1,4,0,61268
19_28/01/20,3764,1,4,0,61268
19_07/01/20,3802,1,4,2,28769
19_14/01/20,3802,1,4,2,28769
19_21/01/20,3802,1,4,2,28769
19_28/01/20,3802,1,4,2,28769
19_07/01/20,5799,1,4,0,93075
19_14/01/20,5799,1,4,0,93075
19_21/01/20,5799,1,4,0,93075
19_28/01/20,5799,1,4,0,93075
19_07/01/20,7482,1,4,5,99333
19_14/01/20,7482,1,4,5,99333
19_21/01/20,7482,1,4,5,99333
19_28/01/20,7482,1,4,5,99333
6_05/02/20,20,1,4,2,83322
6_12/02/20,20,1,4,2,83322
6_19/02/20,20,1,4,2,83322
6_26/02/20,20,1,4,2,83322
6_05/02/20,11852,1,4,1,68237
6_12/02/20,11852,1,4,1,68237
6_19/02/20,11852,1,4,1,68237
6_26/02/20,11852,1,4,1,68237
15_02/04/20,20,1,4,5,91577
15_09/04/20,20,1,4,5,91577
15_16/04/20,20,1,4,5,91577
15_23/04/20,20,1,4,5,91577
15_30/04/20,20,1,4,5,91577
15_02/04/20,538,1,4,4,58552
15_09/04/20,538,1,4,4,58552
15_16/04/20,538,1,4,4,58552
15_23/04/20,538,1,4,4,58552
15_30/04/20,538,1,4,4,58552
15_02/04/20,6988,1,4,4,194
15_09/04/20,6988,1,4,4,194
15_16/04/20,6988,1,4,4,194
15_23/04/20,6988,1,4,4,194
15_30/04/20,6988,1,4,4,194
15_02/04/20,15355,1,4,0,64572
15_09/04/20,15355,1,4,0,64572
15_16/04/20,15355,1,4,0,64572
15_23/04/20,15355,1,4,0,64572
15_30/04/20,15355,1,4,0,64572
8_01/06/20,20,1,4,0,74920
8_08/06/20,20,1,4,0,74920
8_15/06/20,20,1,4,0,74920
8_22/06/20,20,1,4,0,74920
8_29/06/20,20,1,4,0,74920
8_01/06/20,1583,1,4,2,43747
8_08/06/20,1583,1,4,2,43747
8_15/06/20,1583,1,4,2,43747
8_22/06/20,1583,1,4,2,43747
8_29/06/20,1583,1,4,2,43747
8_01/06/20,22618,1,4,3,53299
8_08/06/20,22618,1,4,3,53299
8_15/06/20,22618,1,4,3,53299
8_22/06/20,22618,1,4,3,53299
8_29/06/20,22618,1,4,3,53299
17_01/06/20,4709,1,4,0,41094
17_08/06/20,4709,1,4,0,41094
17_15/06/20,4709,1,4,0,41094
17_22/06/20,4709,1,4,0,41094
17_29/06/20,4709,1,4,0,41094
17_01/06/20,10442,1,4,3,35172
17_08/06/20,10442,1,4,3,35172
17_15/06/20,10442,1,4,3,35172
17_22/06/20,10442,1,4,3,35172
17_29/06/20,10442,1,4,3,35172
17_01/06/20,23130,1,4,1,86173
17_08/06/20,23130,1,4,1,86173
17_15/06/20,23130,1,4,1,86173
17_22/06/20,23130,1,4,1,86173
17_29/06/20,23130,1,4,1,86173
17_01/06/20,23600,1,4,5,89927
17_08/06/20,23600,1,4,5,89927
17_15/06/20,23600,1,4,5,89927
17_22/06/20,23600,1,4,5,89927
17_29/06/20,23600,1,4,5,89927
17_01/06/20,24434,1,4,5,49226
17_08/06/20,24434,1,4,5,49226
17_15/06/20,24434,1,4,5,49226
17_22/06/20,24434,1,4,5,49226
17_29/06/20,24434,1,4,5,49226
17_01/06/20,24434,1,4,3,18190
17_08/06/20,24434,1,4,3,18190
17_15/06/20,24434,1,4,3,18190
17_22/06/20,24434,1,4,3,18190
17_29/06/20,24434,1,4,3,18190
17_01/06/20,25044,1,4,4,86922
17_08/06/20,25044,1,4,4,86922
17_15/06/20,25044,1,4,4,86922
17_22/06/20,25044,1,4,4,86922
17_29/06/20,25044,1,4,4,86922
15_04/07/20,2365,1,4,5,37824
15_11/07/20,2365,1,4,5,37824
15_18/07/20,2365,1,4,5,37824
15_25/07/20,2365,1,4,5,37824
15_04/07/20,23069,1,4,4,7099
15_11/07/20,23069,1,4,4,7099
15_18/07/20,23069,1,4,4,7099
15_25/07/20,23069,1,4,4,7099
15_04/07/20,27231,1,4,1,97456
15_11/07/20,27231,1,4,1,97456
15_18/07/20,27231,1,4,1,97456
15_25/07/20,27231,1,4,1,97456
5_03/09/20,21349,1,4,1,28700
5_10/09/20,21349,1,4,1,28700
5_17/09/20,21349,1,4,1,28700
5_24/09/20,21349,1,4,1,28700
6_02/09/20,33070,1,4,2,44610
6_09/09/20,33070,1,4,2,44610
6_16/09/20,33070,1,4,2,44610
6_23/09/20,33070,1,4,2,44610
6_30/09/20,33070,1,4,2,44610
6_02/10/20,20,1,4,0,55279
6_09/10/20,20,1,4,0,55279
6_16/10/20,20,1,4,0,55279
6_23/10/20,20,1,4,0,55279
6_30/10/20,20,1,4,0,55279
22_01/12/20,20,1,4,4,84976
22_08/12/20,20,1,4,4,84976
22_15/12/20,20,1,4,4,84976
22_22/12/20,20,1,4,4,84976
22_29/12/20,20,1,4,4,84976
22_01/12/20,29019,1,4,3,84242
22_08/12/20,29019,1,4,3,84242
22_15/12/20,29019,1,4,3,84242
22_22/12/20,29019,1,4,3,84242
22_29/12/20,29019,1,4,3,84242
22_01/12/20,32116,1,4,5,6457
22_08/12/20,32116,1,4,5,6457
22_15/12/20,32116,1,4,5,6457
22_22/12/20,32116,1,4,5,6457
22_29/12/20,32116,1,4,5,6457
18_03/12/20,3223,1,4,4,34354
18_10/12/20,3223,1,4,4,34354
18_17/12/20,3223,1,4,4,34354
18_24/12/20,3223,1,4,4,34354
18_31/12/20,3223,1,4,4,34354
18_03/12/20,10531,1,4,2,51946
18_10/12/20,10531,1,4,2,51946
18_17/12/20,10531,1,4,2,51946
18_24/12/20,10531,1,4,2,51946
18_31/12/20,10531,1,4,2,51946
18_03/12/20,11055,1,4,3,30042
18_10/12/20,11055,1,4,3,30042
18_17/12/20,11055,1,4,3,30042
18_24/12/20,11055,1,4,3,30042
18_31/12/20,11055,1,4,3,30042
18_03/12/20,18555,1,4,2,71169
18_10/12/20,18555,1,4,2,71169
18_17/12/20,18555,1,4,2,71169
18_24/12/20,18555,1,4,2,71169
18_31/12/20,18555,1,4,2,71169
18_03/12/20,19509,1,4,4,46
18_10/12/20,19509,1,4,4,46
18_17/12/20,19509,1,4,4,46
18_24/12/20,19509,1,4,4,46
18_31/12/20,19509,1,4,4,46
18_03/12/20,26088,1,4,5,61815
18_10/12/20,26088,1,4,5,61815
18_17/12/20,26088,1,4,5,61815
18_24/12/20,26088,1,4,5,61815
18_31/12/20,26088,1,4,5,61815
18_03/12/20,28206,1,4,5,81001
18_10/12/20,28206,1,4,5,81001
18_17/12/20,28206,1,4,5,81001
18_24/12/20,28206,1,4,5,81001
18_31/12/20,28206,1,4,5,81001
19_02/01/20,21,1,4,0,16054
19_09/01/20,21,1,4,0,16054
19_16/01/20,21,1,4,0,16054
19_23/01/20,21,1,4,0,16054
19_30/01/20,21,1,4,0,16054
19_02/01/20,254,1,4,3,29445
19_09/01/20,254,1,4,3,29445
19_16/01/20,254,1,4,3,29445
19_23/01/20,254,1,4,3,29445
19_30/01/20,254,1,4,3,29445
19_02/01/20,439,1,4,2,79980
19_09/01/20,439,1,4,2,79980
19_16/01/20,439,1,4,2,79980
19_23/01/20,439,1,4,2,79980
19_30/01/20,439,1,4,2,79980
19_02/01/20,459,1,4,5,94240
19_09/01/20,459,1,4,5,94240
19_16/01/20,459,1,4,5,94240
19_23/01/20,459,1,4,5,94240
19_30/01/20,459,1,4,5,94240
19_02/01/20,538,1,4,2,3157
19_09/01/20,538,1,4,2,3157
19_16/01/20,538,1,4,2,3157
19_23/01/20,538,1,4,2,3157
19_30/01/20,538,1,4,2,3157
19_02/01/20,538,1,4,3,75045
19_09/01/20,538,1,4,3,75045
19_16/01/20,538,1,4,3,75045
19_23/01/20,538,1,4,3,75045
19_30/01/20,538,1,4,3,75045
19_02/01/20,538,1,4,3,43536
19_09/01/20,538,1,4,3,43536
19_16/01/20,538,1,4,3,43536
19_23/01/20,538,1,4,3,43536
19_30/01/20,538,1,4,3,43536
19_02/01/20,1945,1,4,0,47083
19_09/01/20,1945,1,4,0,47083
19_16/01/20,1945,1,4,0,47083
19_23/01/20,1945,1,4,0,47083
19_30/01/20,1945,1,4,0,47083
19_02/01/20,2305,1,4,1,46240
19_09/01/20,2305,1,4,1,46240
19_16/01/20,2305,1,4,1,46240
19_23/01/20,2305,1,4,1,46240
19_30/01/20,2305,1,4,1,46240
19_02/01/20,2327,1,4,2,69955
19_09/01/20,2327,1,4,2,69955
19_16/01/20,2327,1,4,2,69955
19_23/01/20,2327,1,4,2,69955
19_30/01/20,2327,1,4,2,69955
19_02/01/20,2495,1,4,2,61027
19_09/01/20,2495,1,4,2,61027
19_16/01/20,2495,1,4,2,61027
19_23/01/20,2495,1,4,2,61027
19_30/01/20,2495,1,4,2,61027
19_02/01/20,2533,1,4,0,85465
19_09/01/20,2533,1,4,0,85465
19_16/01/20,2533,1,4,0,85465
19_23/01/20,2533,1,4,0,85465
19_30/01/20,2533,1,4,0,85465
19_02/01/20,4255,1,4,2,34582
19_09/01/20,4255,1,4,2,34582
19_16/01/20,4255,1,4,2,34582
19_23/01/20,4255,1,4,2,34582
19_30/01/20,4255,1,4,2,34582
19_02/01/20,4273,1,4,5,50382
19_09/01/20,4273,1,4,5,50382
19_16/01/20,4273,1,4,5,50382
19_23/01/20,4273,1,4,5,50382
19_30/01/20,4273,1,4,5,50382
17_07/01/20,21,1,4,0,49001
17_14/01/20,21,1,4,0,49001
17_21/01/20,21,1,4,0,49001
17_28/01/20,21,1,4,0,49001
17_07/01/20,538,1,4,5,5214
17_14/01/20,538,1,4,5,5214
17_21/01/20,538,1,4,5,5214
17_28/01/20,538,1,4,5,5214
17_07/01/20,1753,1,4,1,24681
17_14/01/20,1753,1,4,1,24681
17_21/01/20,1753,1,4,1,24681
17_28/01/20,1753,1,4,1,24681
17_07/01/20,1769,1,4,0,7700
17_14/01/20,1769,1,4,0,7700
17_21/01/20,1769,1,4,0,7700
17_28/01/20,1769,1,4,0,7700
17_07/01/20,1789,1,4,0,5482
17_14/01/20,1789,1,4,0,5482
17_21/01/20,1789,1,4,0,5482
17_28/01/20,1789,1,4,0,5482
17_07/01/20,1910,1,4,5,77914
17_14/01/20,1910,1,4,5,77914
17_21/01/20,1910,1,4,5,77914
17_28/01/20,1910,1,4,5,77914
17_07/01/20,2098,1,4,5,50546
17_14/01/20,2098,1,4,5,50546
17_21/01/20,2098,1,4,5,50546
17_28/01/20,2098,1,4,5,50546
17_07/01/20,3923,1,4,1,93482
17_14/01/20,3923,1,4,1,93482
17_21/01/20,3923,1,4,1,93482
17_28/01/20,3923,1,4,1,93482
17_07/01/20,3923,1,4,2,88533
17_14/01/20,3923,1,4,2,88533
17_21/01/20,3923,1,4,2,88533
17_28/01/20,3923,1,4,2,88533
17_07/01/20,5785,1,4,2,14600
17_14/01/20,5785,1,4,2,14600
17_21/01/20,5785,1,4,2,14600
17_28/01/20,5785,1,4,2,14600
17_07/01/20,7439,1,4,2,89749
17_14/01/20,7439,1,4,2,89749
17_21/01/20,7439,1,4,2,89749
17_28/01/20,7439,1,4,2,89749
17_07/01/20,7487,1,4,1,39623
17_14/01/20,7487,1,4,1,39623
17_21/01/20,7487,1,4,1,39623
17_28/01/20,7487,1,4,1,39623
17_07/01/20,7528,1,4,1,58949
17_14/01/20,7528,1,4,1,58949
17_21/01/20,7528,1,4,1,58949
17_28/01/20,7528,1,4,1,58949
13_06/02/20,538,1,4,1,81858
13_13/02/20,538,1,4,1,81858
13_20/02/20,538,1,4,1,81858
13_27/02/20,538,1,4,1,81858
13_06/02/20,538,1,4,0,44126
13_13/02/20,538,1,4,0,44126
13_20/02/20,538,1,4,0,44126
13_27/02/20,538,1,4,0,44126
13_06/02/20,1429,1,4,4,96037
13_13/02/20,1429,1,4,4,96037
13_20/02/20,1429,1,4,4,96037
13_27/02/20,1429,1,4,4,96037
13_06/02/20,9761,1,4,5,22077
13_13/02/20,9761,1,4,5,22077
13_20/02/20,9761,1,4,5,22077
13_27/02/20,9761,1,4,5,22077
13_06/02/20,11373,1,4,0,34657
13_13/02/20,11373,1,4,0,34657
13_20/02/20,11373,1,4,0,34657
13_27/02/20,11373,1,4,0,34657
13_06/02/20,11486,1,4,1,71978
13_13/02/20,11486,1,4,1,71978
13_20/02/20,11486,1,4,1,71978
13_27/02/20,11486,1,4,1,71978
13_06/02/20,13156,1,4,4,8457
13_13/02/20,13156,1,4,4,8457
13_20/02/20,13156,1,4,4,8457
13_27/02/20,13156,1,4,4,8457
13_06/02/20,14457,1,4,5,44005
13_13/02/20,14457,1,4,5,44005
13_20/02/20,14457,1,4,5,44005
13_27/02/20,14457,1,4,5,44005
13_06/02/20,14633,1,4,0,87274
13_13/02/20,14633,1,4,0,87274
13_20/02/20,14633,1,4,0,87274
13_27/02/20,14633,1,4,0,87274
15_05/03/20,1569,1,4,1,43437
15_12/03/20,1569,1,4,1,43437
15_19/03/20,1569,1,4,1,43437
15_26/03/20,1569,1,4,1,43437
15_05/03/20,2787,1,4,5,89833
15_12/03/20,2787,1,4,5,89833
15_19/03/20,2787,1,4,5,89833
15_26/03/20,2787,1,4,5,89833
15_05/03/20,16152,1,4,2,35722
